"","go","process","count","genes","fold_enrichment","p_value","fdr","perc_total","contrast","GO.category","term","GOSlim_bin","aspect"
"18","GO:0015293","symporter activity",5,"F4KD71, Q9Z2J0, A4QN56, Q9R1N3, Q6P2X9",3.29302587176603,0.0638484775380125,1,0.078125,"Dabob Bay ~
Fidalgo Bay","Molecular Function","symporter activity","transporter activity","F"
"19","GO:0000149","SNARE binding",3,"Q5S007, P49817, O70439",6.45433070866142,0.0771341404958727,1,0.046875,"Dabob Bay ~
Fidalgo Bay","Molecular Function","SNARE binding","other molecular function","F"
"20","GO:0005525","GTP binding",8,"Q5S007, Q9NUV9, Q53G44, Q1ZXD6, Q55E58, Q5U316, Q8MVR1, P02552",2.13366304418559,0.07894867599975,1,0.125,"Dabob Bay ~
Fidalgo Bay","Molecular Function","GTP binding","other molecular function","F"
"21","GO:0030674","protein binding, bridging",3,"P49817, P25067, O88843",6.05093503937008,0.0862465042360621,1,0.046875,"Dabob Bay ~
Fidalgo Bay","Molecular Function","protein binding, bridging","other molecular function","F"
"22","GO:0016887","ATPase activity",6,"Q8K268, Q63413, O95477, Q14191, Q9WV04, Q99758",2.4824348879467,0.0921109631614979,1,0.09375,"Dabob Bay ~
Fidalgo Bay","Molecular Function","ATPase activity","other molecular function","F"
"23","GO:0010638","positive regulation of organelle organization",2,"P16157, Q02357",120.042857142857,0.016356249141001,1,0.2,"Dabob Bay ~
Oyster Bay","Biological Processes","positive regulation of organelle organization","cell organization and biogenesis","P"
"24","GO:0043568","positive regulation of insulin-like growth factor receptor signaling pathway",2,"Q6NSJ0, Q61371",48.0171428571429,0.0403974744076494,1,0.2,"Dabob Bay ~
Oyster Bay","Biological Processes","positive regulation of insulin-like growth factor receptor signaling pathway","signal transduction","P"
"25","GO:0016322","neuron remodeling",2,"Q9W0A0, Q5ND28",21.825974025974,0.0867558393595571,1,0.2,"Dabob Bay ~
Oyster Bay","Biological Processes","neuron remodeling","developmental processes","P"
"26","GO:0007420","brain development",4,"Q810B3, Q14191, Q61371, Q9WTR6",3.69362637362637,0.0909235662337102,1,0.4,"Dabob Bay ~
Oyster Bay","Biological Processes","brain development","developmental processes","P"
"27","GO:0004386","helicase activity",4,"O95786, Q14191, Q9BYK8, E9QAM5",5.41145403531936,0.0362253517143357,1,0.222222222222222,"Dabob Bay ~
Oyster Bay","Molecular Function","helicase activity","other molecular function","F"
"28","GO:0005509","calcium ion binding",9,"O75095, P98133, D3YXG0, Q76LX8, Q9BQ16, Q9UPV7, A5PK46, P20241, Q8NDA2",2.25577910958904,0.041809012577482,1,0.5,"Dabob Bay ~
Oyster Bay","Molecular Function","calcium ion binding","other molecular function","F"
"29","GO:0005044","scavenger receptor activity",3,"Q9UGM3, Q5ND28, Q96KG7",7.01797945205479,0.0662528403419201,1,0.166666666666667,"Dabob Bay ~
Oyster Bay","Molecular Function","scavenger receptor activity","signal transduction activity","F"
"30","GO:0008093","cytoskeletal adaptor activity",2,"P16157, Q02357",20.4159402241594,0.0925411606476408,1,0.111111111111111,"Dabob Bay ~
Oyster Bay","Molecular Function","cytoskeletal adaptor activity","cytoskeletal activity","F"
"31","GO:0006351","transcription, DNA-templated",7,"P56931, Q9CU65, Q5U208, Q9BYK8, E9QAM5, P31396, O60290",3.32547489823609,0.0116465794903291,1,0.388888888888889,"Fidalgo Bay ~
Oyster Bay","Biological Processes","transcription, DNA-dependent","RNA metabolism","P"
"32","GO:0006886","intracellular protein transport",3,"Q4R532, O70439, Q9ULJ7",8.61551606288448,0.0429109337021374,1,0.166666666666667,"Fidalgo Bay ~
Oyster Bay","Biological Processes","intracellular protein transport","transport","P"
"33","GO:0007049","cell cycle",3,"P56931, Q5U208, D3YXG0",6.29595404595405,0.0748730382005865,1,0.166666666666667,"Fidalgo Bay ~
Oyster Bay","Biological Processes","cell cycle","cell cycle and proliferation","P"
"34","GO:0006355","regulation of transcription, DNA-templated",5,"P56931, Q9CU65, Q5U208, E9QAM5, O60290",2.85894120849211,0.0801915317816323,1,0.277777777777778,"Fidalgo Bay ~
Oyster Bay","Biological Processes","regulation of transcription, DNA-dependent","RNA metabolism","P"
"35","GO:0030674","protein binding, bridging",3,"Q8C8R3, P25067, Q05707",34.9303977272727,0.00296040120869152,0.186505276147566,0.3,"Fidalgo Bay ~
Oyster Bay","Molecular Function","protein binding, bridging","other molecular function","F"
"36","GO:0030374","ligand-dependent nuclear receptor transcription coactivator activity",2,"Q9BYK8, E9QAM5",43.8342245989305,0.0427120799673837,1,0.2,"Fidalgo Bay ~
Oyster Bay","Molecular Function","ligand-dependent nuclear receptor transcription coactivator activity","transcription regulatory activity","F"
"37","GO:0008270","zinc ion binding",5,"Q05915, Q9CU65, Q5U208, Q7TPV2, P31396",2.69993412384717,0.0945675883553234,1,0.5,"Fidalgo Bay ~
Oyster Bay","Molecular Function","zinc ion binding","other molecular function","F"
